Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
03-Apr-2017,2435,2408.2,2411.7,598444,14470.376765,6263,
05-Apr-2017,2419.9,2395,2401.25,1452784,34890.3240405,8452,
06-Apr-2017,2410,2392.55,2400.05,860352,20645.3279295,7025,
07-Apr-2017,2433.25,2392.15,2429.05,1138506,27539.489353,11681,
10-Apr-2017,2449,2405,2422.25,1271632,30962.726962,14843,
11-Apr-2017,2443.1,2406,2419.3,778892,18923.5926815,8672,
12-Apr-2017,2428,2383,2393.25,525269,12624.346137,8995,
13-Apr-2017,2409,2321.05,2328.65,1250236,29264.5863875,21646,
17-Apr-2017,2332.9,2295.15,2314.85,1135441,26225.15682,16021,
18-Apr-2017,2334.2,2302.05,2308.8,865310,20070.5161565,36373,
19-Apr-2017,2348.7,2252.8,2299.15,2813406,64637.241258,92373,
20-Apr-2017,2332,2290.95,2325.5,634421,14650.519372,20835,
21-Apr-2017,2335.65,2301,2310.8,580577,13433.536566,13200,
24-Apr-2017,2339.65,2282.5,2328.1,1000010,23172.7354835,26382,
25-Apr-2017,2344.45,2302.7,2311.5,1574355,36416.0687645,36281,
26-Apr-2017,2343.95,2303.05,2310.35,1093719,25295.6249945,38144,
27-Apr-2017,2327.8,2277.65,2302.65,2886593,66599.934932,32958,
28-Apr-2017,2298.75,2268,2273.15,1270255,28980.770174,7853,
02-May-2017,2302,2280,2289.9,1191348,27298.412382,6908,
03-May-2017,2345,2268.5,2337.3,1757203,40796.349815,19274,
04-May-2017,2350,2308.8,2330.1,1354104,31506.9011985,12505,
05-May-2017,2332.5,2302.5,2320.5,841237,19512.8953665,11057,
08-May-2017,2347.4,2317.7,2342.45,535891,12526.847962,9912,
09-May-2017,2361,2332.55,2352.55,895135,21030.945028,10301,
10-May-2017,2356.15,2316,2332.45,603194,14056.2727225,8036,
11-May-2017,2360,2322.75,2349.45,1035651,24217.2880085,7467,
12-May-2017,2369.9,2320.05,2360.65,1157223,27205.904657,11051,
15-May-2017,2377.95,2341.6,2365.1,908802,21380.43383,11193,
16-May-2017,2435,2373.45,2429.15,1800513,43397.0320625,26804,
17-May-2017,2460.75,2423,2455.35,1438099,35137.286298,17432,
18-May-2017,2572,2442.25,2536.2,2569297,64894.7832485,52252,
19-May-2017,2540.55,2486,2507.15,893022,22384.298626,20755,
22-May-2017,2553.75,2510,2531.35,831970,21054.6114345,23572,
23-May-2017,2564.15,2514,2521.7,1374298,34776.4533905,39682,
24-May-2017,2570,2529.65,2559.15,1267274,32252.2783735,31524,
25-May-2017,2637.55,2568,2624.6,2047047,53333.772243,41119,
26-May-2017,2626.85,2564.65,2578.25,681275,17665.429107,9723,
29-May-2017,2596.5,2564,2572.85,874645,22545.2474395,8966,
30-May-2017,2575.95,2525,2551.1,463817,11849.3211245,8244,
31-May-2017,2572.5,2528,2546.6,1251365,31905.892911,9221,
01-Jun-2017,2564,2530,2553.6,540032,13786.1849335,5251,
02-Jun-2017,2591.85,2552.5,2564.9,677824,17412.2023405,5048,
05-Jun-2017,2619.9,2560.15,2603.95,750094,19331.404025,8267,
06-Jun-2017,2708.95,2630,2696,2973360,80077.80799,28967,
07-Jun-2017,2700,2576.55,2615.25,2463888,64675.885288,49531,
08-Jun-2017,2604.95,2515.5,2521.6,1665357,42357.3050325,30452,
09-Jun-2017,2547.4,2486,2507,1574017,39559.502654,27092,
12-Jun-2017,2512.9,2470.4,2487.2,813253,20229.480743,21091,
13-Jun-2017,2481.1,2447,2451.55,587707,14486.3534235,12052,
14-Jun-2017,2476,2455,2470.2,744571,18386.50964,11031,
15-Jun-2017,2469.7,2405,2411.2,1498599,36385.0904315,20444,
16-Jun-2017,2435,2386.5,2399.7,1225213,29441.421444,21326,
19-Jun-2017,2446.35,2405.15,2431.7,822371,19987.762222,16980,
20-Jun-2017,2449,2380.3,2445,835479,20278.284992,19848,
21-Jun-2017,2442.15,2397.2,2406.3,828909,19995.3013,16828,
22-Jun-2017,2431,2385,2394.85,2887941,69397.874211,23463,
23-Jun-2017,2413.95,2354,2361.7,712378,17017.112363,27993,
27-Jun-2017,2384.7,2331.6,2342.85,987165,23270.750445,49896,
28-Jun-2017,2358,2335,2350.05,894863,20992.5169365,46907,
29-Jun-2017,2372.05,2323.1,2333.25,1235913,28951.510886,32058,
30-Jun-2017,2377,2323.1,2362.35,876924,20704.2828785,10869,
03-Jul-2017,2383.05,2343.1,2373.6,737978,17478.7233605,8019,
04-Jul-2017,2380.45,2350.05,2366.85,607567,14380.5312465,7178,
05-Jul-2017,2365,2345,2356,407928,9604.3330245,5289,
06-Jul-2017,2361.9,2340.1,2347.55,513394,12058.3480735,5501,
07-Jul-2017,2356.45,2325.5,2331.95,616045,14436.977427,6443,
10-Jul-2017,2444.9,2341,2434.95,398392,9667.1436085,19154,
11-Jul-2017,2514.8,2426,2475.8,1768752,43831.9495265,32049,
12-Jul-2017,2483.3,2430.1,2439.45,1323225,32463.162553,19841,
13-Jul-2017,2472,2426.6,2446.4,1565980,38358.7301825,41962,
14-Jul-2017,2425,2375,2397.45,2254216,54014.9933635,86610,
17-Jul-2017,2422.1,2382.2,2395.45,1105911,26570.9537205,25955,
18-Jul-2017,2443,2396.15,2408.35,954001,23068.239028,27933,
19-Jul-2017,2460,2415.1,2449.6,1957788,47809.4365255,30030,
20-Jul-2017,2456.9,2430.5,2444.7,591252,14433.938939,17012,
21-Jul-2017,2500,2434.55,2491.2,1074208,26567.048632,31105,
24-Jul-2017,2540,2482,2530.7,1135701,28613.641703,33438,
25-Jul-2017,2580,2518.4,2571.5,1339416,34187.361445,55029,
26-Jul-2017,2575,2547,2556,729913,18683.296533,23105,
27-Jul-2017,2584.8,2466.5,2481.7,2127652,53188.0585845,45476,
28-Jul-2017,2493.05,2442,2484.3,691376,17059.0823475,12414,
31-Jul-2017,2519,2463,2491.8,1009831,25145.104504,12078,
01-Aug-2017,2520.75,2491,2501.65,873730,21861.9509735,6588,
02-Aug-2017,2508,2462,2473.8,625512,15540.8962675,7697,
03-Aug-2017,2502,2466.45,2489.45,941274,23407.095635,7574,
04-Aug-2017,2528.3,2488,2522.8,693945,17423.960919,11246,
07-Aug-2017,2520,2481.2,2503.45,942760,23486.8244405,8596,
08-Aug-2017,2528.6,2496.3,2503.05,536979,13465.5039715,9233,
09-Aug-2017,2522.85,2493.3,2512,496473,12468.0308155,7643,
10-Aug-2017,2520.6,2486.35,2511.45,763086,19071.167973,10286,
11-Aug-2017,2535,2483,2496.05,697368,17460.6038835,11688,
14-Aug-2017,2509.9,2463,2469.4,393252,9781.2024785,7434,
16-Aug-2017,2543.8,2465.2,2492.35,686670,17082.0248135,9807,
17-Aug-2017,2505,2462.1,2485.65,876187,21729.776848,11050,
18-Aug-2017,2549.9,2471.4,2513.8,1418678,35762.817218,23923,
21-Aug-2017,2549,2494.3,2528.8,1152417,29209.415477,12278,
22-Aug-2017,2539.5,2492,2497.55,565663,14232.516377,10451,
23-Aug-2017,2516.8,2473.15,2489.45,781136,19430.9396715,12387,
24-Aug-2017,2517.95,2486.15,2496.6,811954,20264.8743565,8755,
28-Aug-2017,2505.4,2461,2487.3,1018398,25253.7875495,19470,
29-Aug-2017,2496,2463.95,2470.85,656301,16230.1055065,20260,
30-Aug-2017,2490,2460.1,2484.55,485391,12030.2093715,20238,
31-Aug-2017,2504.4,2466.65,2496.35,892332,22218.301908,21835,
01-Sep-2017,2498.05,2436.55,2456.45,851165,20877.7046535,9123,
04-Sep-2017,2461,2438,2456.2,531272,13027.1121365,6610,
05-Sep-2017,2490,2437.05,2484.35,582997,14359.969991,6967,
06-Sep-2017,2474.85,2450,2453.2,614382,15081.662515,5384,
07-Sep-2017,2468.4,2451.05,2460.1,435318,10702.731546,4172,
08-Sep-2017,2474,2452.55,2470.6,510567,12591.261141,5705,
11-Sep-2017,2482.95,2450,2454.45,366382,9025.399414,6192,
12-Sep-2017,2497,2457,2488.45,698230,17243.5952325,6377,
13-Sep-2017,2531.65,2475.2,2489.2,639490,16015.9031425,13255,
14-Sep-2017,2497.6,2471.9,2486.95,540755,13433.4220835,6537,
15-Sep-2017,2517,2485,2506.05,1472036,36850.856643,9568,
18-Sep-2017,2518.95,2489.25,2499.05,363300,9092.334555,6935,
19-Sep-2017,2505,2491.5,2498.25,391377,9770.9253835,4418,
20-Sep-2017,2514,2474.3,2493.55,667321,16588.846735,7457,
21-Sep-2017,2541,2480,2524.9,1219370,30605.4484635,20539,
22-Sep-2017,2526.9,2492,2503.6,1217698,30542.498156,14481,
25-Sep-2017,2534,2492.75,2510.75,799779,20115.284543,22924,
26-Sep-2017,2526.4,2466,2474.65,724615,18012.388778,22561,
27-Sep-2017,2512.2,2473.75,2495,1005178,25086.3448315,27565,
28-Sep-2017,2514,2452,2476.45,2166433,53738.1997055,22915,
29-Sep-2017,2484,2421.5,2435.95,992507,24370.2463675,9501,
03-Oct-2017,2454.3,2427.05,2448.45,961503,23469.0598125,8330,
04-Oct-2017,2454,2425,2442.3,650389,15872.5004575,6689,
05-Oct-2017,2443.45,2424.4,2429.6,842343,20510.775409,4121,
06-Oct-2017,2455,2428.05,2446.65,694594,16972.398027,5706,
09-Oct-2017,2467.95,2441.05,2454.1,886808,21795.2894515,6923,
10-Oct-2017,2469.95,2451.25,2459.25,611005,15029.195092,7464,
11-Oct-2017,2514.45,2456.75,2500.35,763873,19053.6531225,22208,
12-Oct-2017,2555,2507,2548.2,2503178,63317.344206,51090,
13-Oct-2017,2608.95,2523,2558.6,2033160,52092.8776745,80803,
16-Oct-2017,2590,2555.05,2584.4,609295,15706.7729485,16859,
17-Oct-2017,2614.95,2577.55,2594.55,721508,18747.4348055,13935,
18-Oct-2017,2613.65,2580,2586.6,757072,19594.817824,10563,
19-Oct-2017,2595.8,2571,2583.9,43411,1120.8562985,1881,
23-Oct-2017,2629,2547.45,2587.9,943044,24510.28659,25650,
24-Oct-2017,2620.9,2569.05,2578.4,669510,17280.8870265,25995,
25-Oct-2017,2614,2555,2559.9,552553,14259.516328,21794,
26-Oct-2017,2569.15,2517.9,2538.85,1503776,38213.286949,26627,
27-Oct-2017,2593.15,2530.3,2584.3,704635,18090.746193,6309,
30-Oct-2017,2620,2581.7,2616.2,568626,14822.898182,7395,
31-Oct-2017,2640,2601.3,2624,796317,20925.794565,7523,
01-Nov-2017,2626.85,2578.85,2602.85,370941,9621.754858,5754,
02-Nov-2017,2674,2606.75,2626.15,734211,19381.5885865,7303,
03-Nov-2017,2636.7,2602.8,2620.1,333443,8735.4092205,4218,
06-Nov-2017,2671.8,2611.75,2665.55,688500,18187.5206885,7569,
07-Nov-2017,2768,2666.05,2710.05,1348446,36656.6514225,21270,
08-Nov-2017,2759,2718.25,2735,701126,19219.345811,8279,
09-Nov-2017,2750,2719.3,2736.4,576216,15744.627896,6125,
10-Nov-2017,2726,2693.35,2708.75,678283,18360.065008,5782,
13-Nov-2017,2777.4,2702.05,2758.95,748498,20638.0899025,12284,
14-Nov-2017,2756.55,2707.5,2714.6,828626,22527.1504695,9832,
15-Nov-2017,2755,2701.35,2705.3,3335417,91281.2905875,10514,
16-Nov-2017,2763,2686.95,2746.65,826741,22603.1340315,14838,
17-Nov-2017,2748.1,2703.6,2707.3,662732,18025.584572,8766,
20-Nov-2017,2726.9,2695.3,2703.45,507249,13746.3286845,5491,
21-Nov-2017,2701,2666,2672.95,763870,20460.4481855,10344,
22-Nov-2017,2709.7,2672.4,2680.65,911312,24522.3527745,8986,
23-Nov-2017,2693,2669,2681.25,396735,10649.3771775,8777,
24-Nov-2017,2702.9,2673.1,2688.05,1143756,30747.1039885,9336,
27-Nov-2017,2695.9,2662.2,2685.85,928393,24868.3961035,18323,
28-Nov-2017,2702.4,2670,2685.3,455858,12213.423238,25861,
29-Nov-2017,2693,2650,2658.15,723766,19358.557177,19094,
30-Nov-2017,2666.95,2623,2637,2149981,56789.0001345,26076,
01-Dec-2017,2668,2621.5,2629.95,515572,13651.0415075,5672,
04-Dec-2017,2658.5,2602.95,2632.35,629552,16556.231487,7490,
05-Dec-2017,2651.7,2628.15,2635.55,583957,15423.082644,5225,
06-Dec-2017,2645,2612.85,2633.3,703759,18491.075196,4883,
07-Dec-2017,2645.95,2615,2617.25,663150,17398.5662475,4964,
08-Dec-2017,2645,2597,2601.5,692774,18162.3701745,6561,
11-Dec-2017,2672.65,2608.35,2661.1,504001,13282.6859835,9196,
12-Dec-2017,2662,2607.4,2612.15,941123,24696.381998,9398,
13-Dec-2017,2651.45,2601,2628.4,1480729,38973.8571995,10276,
14-Dec-2017,2632,2531.1,2557.8,2752075,70419.995393,21908,
15-Dec-2017,2584.45,2536.85,2545.6,1359069,34695.919506,16016,
18-Dec-2017,2588.95,2494.35,2580.5,1090332,27787.744079,17863,
19-Dec-2017,2597.8,2564.7,2575.3,900976,23273.86545,9850,
20-Dec-2017,2592.75,2550.65,2588.95,788785,20300.1988705,14646,
21-Dec-2017,2608,2580.05,2595.7,646824,16785.692507,14991,
22-Dec-2017,2663.9,2590.2,2646.75,1832832,48319.485364,45575,
26-Dec-2017,2689.75,2631.6,2649.45,1087893,28868.385163,23714,
27-Dec-2017,2658.5,2610.5,2619.9,369642,9729.743322,25078,
28-Dec-2017,2653.5,2605.65,2626.95,1302544,34262.5749045,34893,
29-Dec-2017,2708.9,2618.55,2701.2,1304771,34940.6933955,13784,
01-Jan-2018,2694.8,2635,2645.6,675880,17944.177169,8337,
02-Jan-2018,2669.6,2620.2,2631.2,960145,25358.00011,12296,
03-Jan-2018,2669,2631.2,2638.65,628560,16651.856194,7685,
04-Jan-2018,2662,2640,2657.1,456541,12098.072384,5593,
05-Jan-2018,2699.5,2650,2689.2,576853,15488.2128225,11017,
08-Jan-2018,2726.85,2681.85,2714.4,621110,16830.4644775,11701,
09-Jan-2018,2721,2676.55,2709,1074698,29055.1138005,17924,
10-Jan-2018,2816,2694.65,2806.6,1682925,46504.235568,52923,
11-Jan-2018,2821.9,2782.2,2790.5,1260524,35251.610285,49626,
12-Jan-2018,2805,2740.55,2776.35,1680157,46444.226679,78908,
15-Jan-2018,2808,2735.05,2746.1,728607,20170.14657,24055,
16-Jan-2018,2861.65,2750.55,2850.85,2133876,60484.645715,79108,
17-Jan-2018,2925,2862.15,2888.95,2140403,62079.4551955,55922,
18-Jan-2018,2933,2868.05,2918.2,1104739,31997.119741,33772,
19-Jan-2018,2982,2903.65,2959.3,910000,26670.009131,33724,
22-Jan-2018,3134.7,2922,3116.4,2183555,66645.659893,102657,
23-Jan-2018,3142.35,3090.05,3102,1619805,50408.7862955,49234,
24-Jan-2018,3259.05,3082.65,3174.6,2810769,89651.877832,101804,
25-Jan-2018,3179.8,3081,3121.05,1916922,59866.6202705,57492,
29-Jan-2018,3225,3122,3198.85,1570530,50196.385496,21193,
30-Jan-2018,3203.8,3143.7,3152.85,787379,24932.0268995,13004,
31-Jan-2018,3150,3098.6,3112.35,1521607,47461.054921,16427,
01-Feb-2018,3190,3088.8,3138.6,1200315,37764.7382335,24827,
02-Feb-2018,3190,3103.45,3153.65,1228245,38901.627461,20247,
05-Feb-2018,3188,3076.85,3103.2,1378871,43003.562067,22474,
06-Feb-2018,3077.15,2985,2997.25,1328653,40137.4363645,25668,
07-Feb-2018,3031,2947.45,2955.05,1090162,32435.120734,20014,
08-Feb-2018,3027.6,2959,2974.2,1377502,41327.160467,27852,
09-Feb-2018,2994,2896.65,2971.7,1051229,30910.3741175,24988,
12-Feb-2018,3023.35,2955.55,2967.3,987281,29434.0823655,18911,
14-Feb-2018,2974.45,2892.5,2911.8,1423766,41853.669488,24136,
15-Feb-2018,2943,2905.1,2925.85,1232618,36059.537058,24025,
16-Feb-2018,2999.6,2923,2933.05,1257878,37302.5637825,38392,
19-Feb-2018,2953.3,2895.2,2923.6,784112,22959.5513095,36660,
20-Feb-2018,2985.05,2927.9,2944.75,944534,27951.264506,30308,
21-Feb-2018,3062.6,2960.05,3042.3,1544614,46589.3757185,62846,
22-Feb-2018,3079,3022.5,3050.2,1731505,52773.4172125,57167,
23-Feb-2018,3089,2992.1,3075.8,1681250,51189.3593745,24127,
26-Feb-2018,3089.95,3021.2,3031.7,681941,20758.9351885,13474,
27-Feb-2018,3078.55,3032,3042.35,858900,26234.427129,14880,
28-Feb-2018,3063.95,3021.45,3035.05,1353432,41146.520906,14848,
01-Mar-2018,3061.2,3020,3037.7,859062,26134.810221,12984,
05-Mar-2018,3113.65,3032.95,3105.85,1429084,43955.2274695,25024,
06-Mar-2018,3127,3030.15,3042.8,953382,29434.026426,19192,
07-Mar-2018,3089,3018.5,3027.45,958886,29200.784066,15677,
08-Mar-2018,3054.9,2987.5,3003.95,975913,29449.1723345,13646,
09-Mar-2018,3063.2,2977.2,3034.1,936218,28373.8132325,18735,
12-Mar-2018,3083.9,3035.5,3052.15,1045670,32006.6904295,22258,
13-Mar-2018,2939.7,2872,2886.8,44033577,1268361.5555195,124501,
14-Mar-2018,2923.05,2875.05,2886.9,1834334,53188.795028,42759,
15-Mar-2018,2902.55,2855.6,2869.7,1174453,33788.098795,31625,
16-Mar-2018,2872,2805,2825.7,3598741,101999.7855975,46414,
